Annotation Type,Location,Starred?,Annotation,Author,Title
Highlight (Yellow),Location 1703,,"As you become more accomplished, you’ll realize that so much of it is a distraction from your work—time spent with reporters, with awards, and with marketing are time away from what you really care about.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1710,,"Play for the name on the front of the jersey, he says, and they’ll remember the name on the back.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1744,,"“Every man is a quotation from all his ancestors.” They are part of us, we are part of a tradition. Embrace the power of this position and learn from",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1750,,"Why do you think that great leaders and thinkers throughout history have “gone out into the wilderness” and come back with inspiration, with a plan, with an experience that puts them on a course that changes the world? It’s because in doing so they found perspective,",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1775,,"Feel unprotected against the elements or forces or surroundings. Remind yourself how pointless it is to rage and fight and try to one-up those around you. Go and put yourself in touch with the infinite, and end your conscious separation from the world.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1851,,"There’s an old line about how if you want to live happy, live hidden. It’s true. The problem is, that means the rest of us are deprived of really good examples.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1856,,Most successful people are people you’ve never heard of. They want it that way. It keeps them sober. It helps them do their jobs.,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1890,,"The world conspires against us in many ways, and the laws of nature say that everything regresses toward the mean.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1989,,"“Almost always, your road to victory goes through a place called ‘failure.’”",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 2009,,"To paraphrase Epicurus, the narcissistically inclined live in an “unwalled city.” A fragile sense of self is constantly under threat.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 2039,,Pity isn’t necessary. Their identity isn’t threatened. They can get by without constant validation.,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 2081,,Think of what you have been putting off. Issues you declined to deal with. Systemic problems that felt too overwhelming to address. Dead time is revived when we use it as an opportunity to do what we’ve long needed to do.,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 2146,,"the less attached we are to outcomes the better. When fulfilling our own standards is what fills us with pride and self-respect. When the effort—not the results, good or bad—is enough.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 2166,,"“Success is peace of mind, which is a direct result of self-satisfaction in knowing you made the effort to do your best to become the best that you are capable of becoming.”",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 2252,,"In the end, the only way you can appreciate your progress is to stand on the edge of the hole you dug for yourself, look down inside it, and smile fondly at the bloody claw prints that marked your journey up the walls.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 2255,,It can ruin your life only if it ruins your character. —MARCUS AURELIUS,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 2331,,"“He who fears death will never do anything worthy of a living man,” Seneca once said. Alter that: He who will do anything to avoid failure will almost certainly do something worthy of a failure.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 2359,,"how great people think. It’s not that they find failure in every success. They just hold themselves to a standard that exceeds what society might consider to be objective success. Because of that, they don’t much care what other people think; they care whether they meet their own standards. And these standards are much, much higher than everyone else’s.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 2387,,"it’s not about what you can get away with, it’s about what you should or shouldn’t do.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 2449,,"what defines great leaders like Douglass is that instead of hating their enemies, they feel a sort of pity and empathy for them.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 2496,,"As Benjamin Franklin observed, those who “drink to the bottom of the cup must expect to meet with some of the dregs.”",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 2498,,"As Harold Geneen put it, “People learn from their failures. Seldom do they learn anything from success.”",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 2499,,"the old Celtic saying tells us, “See much, study much, suffer much, that is the path to wisdom.”",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 2526,,"training was like sweeping the floor. Just because we’ve done it once, doesn’t mean the floor is clean forever. Every day the dust comes back. Every day we must sweep.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 2578,,"There’s a quote from Bismarck that says, in effect, any fool can learn from experience. The trick is to learn from other people’s experience.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 2603,,www.EgoIsTheEnemy.com/books.,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 2608,,ryanholiday.net/reading-newsletter.,Ryan Holiday,Ego Is The Enemy
